farm_id,cycle_id,cumulative_stress,peak_stress,low_do_days,high_pathogen_days,management_quality,stocking_intensity,survival_rate,growth_index,harvest_health,severe_event
FARM_01,FARM_01_C022,0.26866905781198935,0.8080358180201219,33,8,0.35,1.15,0.7368495518388491,0.7718711413623144,0.7501577558577659,1
FARM_01,FARM_01_C023,0.2751664201663378,0.7931777107464337,33,4,0.35,1.15,0.7358588765362822,0.7699545159013864,0.7488152194950218,1
FARM_01,FARM_01_C024,0.29304511053890925,0.7573759187061406,33,10,0.35,1.15,0.6816767564680684,0.7680106544030468,0.7144836376833601,1
FARM_01,FARM_01_C025,0.2906517209266525,0.8317754704488586,37,14,0.35,1.15,0.7224164913065623,0.822311940748257,0.7603767620944063,1
FARM_01,FARM_01_C026,0.27246976819979085,0.8348249309239156,33,15,0.35,1.15,0.7418847235073287,0.8644025663171566,0.7884415037750634,0
FARM_01,FARM_01_C027,0.2511297170547307,0.6542871760077704,21,4,0.35,1.15,0.7215746756944837,0.8157989744157422,0.757379909208562,1
FARM_01,FARM_01_C028,0.2555172865733182,0.624230119401051,24,5,0.35,1.15,0.7250788382653558,0.7712793953885009,0.7426350499721509,1
FARM_01,FARM_01_C029,0.2596985058412517,0.7028944718333627,20,8,0.35,1.15,0.729275395431565,0.7979733205013827,0.7553806069580957,1
FARM_01,FARM_01_C030,0.2639953038167278,0.6731064827257779,28,8,0.35,1.15,0.7157053823828345,0.8149262335854806,0.75340930583984,1
FARM_01,FARM_01_C031,0.23853217189409834,0.6651438127249863,18,7,0.35,1.15,0.7331946834083436,0.8126108197096794,0.7633728152028512,1
FARM_01,FARM_01_C032,0.24257412200415593,0.7271835714719352,14,9,0.35,1.15,0.7923731942082615,0.7732198745797957,0.7850949327494445,1
FARM_01,FARM_01_C033,0.23707149150364462,0.7213754626031362,22,7,0.35,1.15,0.7164283532254978,0.8175027151039519,0.7548366107393103,1
FARM_01,FARM_01_C034,0.2381330831149459,0.7517966618427206,15,5,0.35,1.15,0.7065991592131686,0.8266392774802286,0.7522144041546515,1
FARM_01,FARM_01_C035,0.2249745500346091,0.7114290123106238,15,9,0.35,1.15,0.7063183401007377,0.7874298494614176,0.7371407136577961,1
FARM_01,FARM_01_C036,0.2329657903222853,0.7102965221249945,18,6,0.35,1.15,0.696277772275868,0.8353717524704709,0.7491334847498171,1
FARM_01,FARM_01_C037,0.23933067613962947,0.7792168831387917,14,9,0.35,1.15,0.7421537016159835,0.8369451765938833,0.7781744621075855,1
FARM_01,FARM_01_C038,0.2429933917795231,0.7586967460817037,23,7,0.35,1.15,0.7337419085578926,0.7749617384803977,0.7494054439284445,1
FARM_01,FARM_01_C039,0.2382652219291517,0.7119700556116069,18,6,0.35,1.15,0.6974904615628044,0.8122435301902575,0.7410966276412365,1
FARM_01,FARM_01_C040,0.25990662780705975,0.7692168905069895,28,5,0.35,1.15,0.6998393001034442,0.7951865340513861,0.736071249003662,1
FARM_01,FARM_01_C041,0.26453386245745514,0.8274805794411995,25,14,0.35,1.15,0.6548741827877375,0.811339734664336,0.7143310925008448,1
FARM_01,FARM_01_C042,0.2778796602220241,0.7793191103865703,36,9,0.35,1.15,0.7628846949911019,0.8223868948170632,0.7854955309249672,1
FARM_01,FARM_01_C043,0.27180595336812424,0.808221754255024,31,8,0.35,1.15,0.6961921370391775,0.8068458829032937,0.7382405604675417,1
FARM_01,FARM_01_C044,0.2631155001578741,0.7596446523689133,30,7,0.35,1.15,0.7438710549112286,0.7885140048790257,0.7608353758989914,1
FARM_01,FARM_01_C045,0.28812256371821565,0.7666498109696211,36,10,0.35,1.15,0.7243521724376073,0.7961846926092561,0.7516485301028338,1
FARM_01,FARM_01_C046,0.28620021373548155,0.7516719948588917,30,8,0.35,1.15,0.716839180492118,0.7992512179130143,0.7481557547120586,1
FARM_01,FARM_01_C047,0.273513147333388,0.8105310399045218,22,4,0.35,1.15,0.6645205876728878,0.8294297729347567,0.727186078072398,1
FARM_01,FARM_01_C048,0.27278844852748135,0.7505708114892766,30,8,0.35,1.15,0.7160705639472653,0.7863812352623666,0.7427886190470039,1
FARM_01,FARM_01_C049,0.2853027923372203,0.7487283277738573,33,8,0.35,1.15,0.730646096272653,0.7650421557248951,0.7437165988645049,1
FARM_01,FARM_01_C050,0.26619203871819297,0.7257154970689431,22,9,0.35,1.15,0.7257582439429978,0.7562723723930618,0.7373536127540221,1
FARM_01,FARM_01_C051,0.24032310552524522,0.6909774025218062,18,6,0.35,1.15,0.7669900622232875,0.8250477589111995,0.789051986964694,0
FARM_01,FARM_01_C052,0.2488607311821522,0.658579378115436,18,8,0.35,1.15,0.7058142812884504,0.8164189065503797,0.7478440388879835,1
FARM_01,FARM_01_C053,0.22089593918876008,0.6670009956030244,16,8,0.35,1.15,0.7543431071212525,0.8170339493325768,0.7781656271615558,1
FARM_01,FARM_01_C054,0.24072023127834233,0.6842696582089105,18,4,0.35,1.15,0.6743211570605638,0.8806580761908341,0.7527291863300666,1
FARM_01,FARM_01_C055,0.2351180702466473,0.6586158121459861,12,7,0.35,1.15,0.7315944188882593,0.8154143639660462,0.7634459980178183,1
FARM_01,FARM_01_C056,0.23896361328113275,0.645115897912083,15,9,0.35,1.15,0.7203561731241764,0.8408093122021603,0.7661283659738103,1
FARM_01,FARM_01_C057,0.24671222262106168,0.6299654409348487,28,7,0.35,1.15,0.8161507916825986,0.7616370205126487,0.7954355586380176,0
FARM_01,FARM_01_C058,0.2326713513683412,0.6942805576767234,18,4,0.35,1.15,0.7376243104657327,0.8123748742466783,0.7660295247024921,1
FARM_01,FARM_01_C059,0.2295312680853205,0.6830548380066988,17,4,0.35,1.15,0.7494402818430561,0.8285817676864865,0.7795140464635597,1
FARM_01,FARM_01_C060,0.22752713617611903,0.6836800420499809,16,3,0.35,1.15,0.7795483184409304,0.8131804984869213,0.7923285468584069,0
FARM_01,FARM_01_C061,0.24030046576533343,0.686239800962012,25,10,0.35,1.15,0.7398736311130399,0.8566443583873043,0.7842465074772604,1
FARM_01,FARM_01_C062,0.2698824979821396,0.713203819113102,32,8,0.35,1.15,0.7295679204311337,0.8020951577129903,0.7571282705982392,1
FARM_01,FARM_01_C063,0.2559205560317111,0.7870245330700122,24,9,0.35,1.15,0.7069846234149493,0.7947948723516222,0.740352518010885,1
FARM_01,FARM_01_C064,0.2813364209611604,0.7099784738377724,32,6,0.35,1.15,0.6410236891598908,0.7815325740174465,0.694417065405762,1
FARM_01,FARM_01_C065,0.2604359558102743,0.7948440189696231,31,6,0.35,1.15,0.7392491141193628,0.8209818001299402,0.7703075348033821,1
FARM_01,FARM_01_C066,0.2781929651928296,0.7190998770420485,34,9,0.35,1.15,0.7469401171317868,0.8020222722347341,0.7678713360709067,1
FARM_01,FARM_01_C067,0.28208955114343964,0.7318092301486435,32,5,0.35,1.15,0.71794622868506,0.8021957648518581,0.7499610524284432,1
FARM_01,FARM_01_C068,0.29182148569963456,0.6896326307745608,35,7,0.35,1.15,0.7342795125183608,0.7488561986620084,0.7398186532529469,1
FARM_01,FARM_01_C069,0.27448712404574754,0.7188361162222322,24,11,0.35,1.15,0.7324621280436712,0.8383709670446982,0.7727074868640613,1
FARM_01,FARM_01_C070,0.2562490684545448,0.6529608097023475,23,8,0.35,1.15,0.6657996373130529,0.8115183899912933,0.7211727633307843,1
FARM_01,FARM_01_C071,0.25952009556042005,0.7494504594008462,21,9,0.35,1.15,0.6442677492951305,0.8225210105738698,0.7120039885810514,1
FARM_01,FARM_01_C072,0.25182480913650956,0.7225294688910313,20,4,0.35,1.15,0.7561158511649572,0.7734210913925564,0.7626918424514448,1
FARM_01,FARM_01_C073,0.235024553015589,0.7083779151145604,14,7,0.35,1.15,0.7675118166686382,0.8238150739049173,0.7889070544184242,0
FARM_01,FARM_01_C074,0.23766138525168473,0.6480599471595685,16,8,0.35,1.15,0.7374930173526525,0.7907788606451862,0.7577416378038153,1
FARM_01,FARM_01_C075,0.2465976634297054,0.6977686664823861,20,7,0.35,1.15,0.744528004717056,0.7923294712083524,0.7626925619837487,1
FARM_01,FARM_01_C076,0.22670414318127313,0.7290461443302434,11,8,0.35,1.15,0.7268125555674418,0.828569872419444,0.7654803359712027,1
FARM_01,FARM_01_C077,0.240894015947738,0.6546165581591765,19,8,0.35,1.15,0.7816393192504173,0.806014820661085,0.7909020097864711,0
FARM_01,FARM_01_C078,0.24900079039568557,0.7180450273076298,21,13,0.35,1.15,0.7385278324239161,0.8125663974151462,0.7666624871205835,1
FARM_01,FARM_01_C079,0.24672041221725008,0.6876533326368461,17,12,0.35,1.15,0.6950783894554219,0.8016020212356836,0.7355573695319213,1
FARM_01,FARM_01_C080,0.22473024926136126,0.6471150139290085,22,6,0.35,1.15,0.7479175719117708,0.8652017084751743,0.7924855438058642,0
FARM_02,FARM_02_C001,0.25185778311197204,0.6660771496176897,25,4,0.3999999999999999,1.0954545454545457,0.7058075019158363,0.8295863190166588,0.7528434524141489,1
FARM_02,FARM_02_C002,0.2621669449318117,0.6983994376554605,29,3,0.3999999999999999,1.0954545454545457,0.777812875734662,0.8109880609931976,0.7904194461329055,0
FARM_02,FARM_02_C003,0.2682279716028719,0.6986559765562614,23,6,0.3999999999999999,1.0954545454545457,0.7298018888119664,0.8077428718589004,0.7594194623698013,1
FARM_02,FARM_02_C004,0.26998987532654267,0.6673957871685938,21,7,0.3999999999999999,1.0954545454545457,0.6687713994790974,0.7764760029129701,0.709699148783969,1
FARM_02,FARM_02_C005,0.25970622283142225,0.7784911251411406,23,4,0.3999999999999999,1.0954545454545457,0.6590978639333834,0.80530470280277,0.7146564627037504,1
FARM_02,FARM_02_C006,0.24657766720772908,0.6271283175318816,21,5,0.3999999999999999,1.0954545454545457,0.7696069002117845,0.7719858024274613,0.7705108830537417,1
FARM_02,FARM_02_C007,0.2505770293879347,0.6442597880256866,22,9,0.3999999999999999,1.0954545454545457,0.7497997126864219,0.7888581656085832,0.7646419247968432,1
FARM_02,FARM_02_C008,0.24569919244325572,0.7101786924335975,19,7,0.3999999999999999,1.0954545454545457,0.7324037567658591,0.7891443837334365,0.7539651950135385,1
FARM_02,FARM_02_C009,0.22911727078074273,0.7098151778782386,16,6,0.3999999999999999,1.0954545454545457,0.7553878146457849,0.8309588513083601,0.7841048085775635,1
FARM_02,FARM_02_C010,0.22819657461596524,0.6964482003940444,13,6,0.3999999999999999,1.0954545454545457,0.7500586228734127,0.7551617115086233,0.7519977965547928,1
FARM_02,FARM_02_C011,0.2147967765387233,0.7000884340606967,10,6,0.3999999999999999,1.0954545454545457,0.811946143738005,0.8472206562860596,0.8253504585062656,0
FARM_02,FARM_02_C012,0.22283274611773438,0.7260187220244436,17,6,0.3999999999999999,1.0954545454545457,0.7240247654250532,0.8032179456720709,0.75411817391892,1
FARM_02,FARM_02_C013,0.23481232068932106,0.7405590474711078,16,9,0.3999999999999999,1.0954545454545457,0.7839055161908138,0.8453059799145787,0.8072376924058444,0
FARM_02,FARM_02_C014,0.22275701290436448,0.7572808396157076,14,7,0.3999999999999999,1.0954545454545457,0.8108613045448672,0.8335346750561591,0.819477185339158,0
FARM_02,FARM_02_C015,0.240397868303751,0.6906984343319872,19,4,0.3999999999999999,1.0954545454545457,0.7461588359691144,0.7857847683397623,0.7612166902699606,1
FARM_02,FARM_02_C016,0.22436716287988787,0.6401956146230648,19,3,0.3999999999999999,1.0954545454545457,0.7586460044052178,0.8208148046558594,0.7822701485004616,1
FARM_02,FARM_02_C017,0.22365604995211974,0.7641444340180619,20,5,0.3999999999999999,1.0954545454545457,0.7534428436626155,0.836136827742862,0.7848665576131091,1
FARM_02,FARM_02_C018,0.21712215727711942,0.7813698810955733,16,3,0.3999999999999999,1.0954545454545457,0.737061616433697,0.8306102749814711,0.7726101066818511,1
FARM_02,FARM_02_C019,0.24976090557360198,0.7355780525194623,27,9,0.3999999999999999,1.0954545454545457,0.7445012701812102,0.7953570720528211,0.7638264748924224,1
FARM_02,FARM_02_C020,0.23683039252472093,0.7603399261027383,25,5,0.3999999999999999,1.0954545454545457,0.7523908272205525,0.8361021495707829,0.78420112971364,1
FARM_02,FARM_02_C021,0.24578628281753528,0.7363671162934133,21,8,0.3999999999999999,1.0954545454545457,0.7593285580417657,0.7904643169002666,0.771160146407996,1
FARM_02,FARM_02_C022,0.2562566745505487,0.7626686597666779,32,7,0.3999999999999999,1.0954545454545457,0.7018687928414242,0.8344201923629796,0.7522383246596153,1
FARM_02,FARM_02_C023,0.26652805629406684,0.7976643314212247,27,7,0.3999999999999999,1.0954545454545457,0.7222308370675511,0.7924437117953614,0.748911729464119,1
FARM_02,FARM_02_C024,0.26754621488160707,0.7566254997278159,31,9,0.3999999999999999,1.0954545454545457,0.6866278865523604,0.8549315372126058,0.7505832738032536,1
FARM_02,FARM_02_C025,0.26383490432547263,0.6756630669298007,31,3,0.3999999999999999,1.0954545454545457,0.794792365274053,0.7852178097895429,0.7911540341899391,0
FARM_02,FARM_02_C026,0.2783881544958403,0.7701937916569521,31,9,0.3999999999999999,1.0954545454545457,0.6821017753967159,0.8386147540128686,0.7415767072708539,1
FARM_02,FARM_02_C027,0.23963689356582651,0.6722475142395624,18,3,0.3999999999999999,1.0954545454545457,0.7281971923563871,0.8110129723766957,0.7596671887641044,1
FARM_02,FARM_02_C028,0.2526715387283966,0.6766872236719198,18,5,0.3999999999999999,1.0954545454545457,0.6990148121106536,0.8692139505897459,0.7636904847327087,1
FARM_02,FARM_02_C029,0.23153705271910582,0.6091825704125483,17,2,0.3999999999999999,1.0954545454545457,0.7064977487356635,0.8340594132849996,0.7549711812644112,1
FARM_02,FARM_02_C030,0.22437896752333303,0.7250599883423205,18,7,0.3999999999999999,1.0954545454545457,0.7497905370661768,0.8564513593924737,0.7903216495501697,0
FARM_02,FARM_02_C031,0.22796944585307843,0.6899968376386958,13,4,0.3999999999999999,1.0954545454545457,0.733352522497212,0.8078190162142023,0.7616497901096683,1
FARM_02,FARM_02_C032,0.21873208704918892,0.7050650510466094,9,5,0.3999999999999999,1.0954545454545457,0.7364050051954428,0.8531875645794255,0.7807823777613563,1
FARM_02,FARM_02_C033,0.21510042131607204,0.6740506270989505,15,7,0.3999999999999999,1.0954545454545457,0.8468906562360036,0.8611745068909895,0.8523185194848981,0
FARM_02,FARM_02_C034,0.21453829748799794,0.6916144714902308,13,8,0.3999999999999999,1.0954545454545457,0.8426908923658164,0.8576580302767192,0.8483784047719595,0
FARM_02,FARM_02_C035,0.2272106484145056,0.6531576330653541,11,11,0.3999999999999999,1.0954545454545457,0.7607046897725012,0.8553784901221918,0.7966807339053836,0
FARM_02,FARM_02_C036,0.2090322636049828,0.6821550604263082,11,6,0.3999999999999999,1.0954545454545457,0.7598464215286354,0.831999001797627,0.7872644020308521,0
FARM_02,FARM_02_C037,0.20337104750184348,0.6490989651432211,10,5,0.3999999999999999,1.0954545454545457,0.8220859508570953,0.8258552175077715,0.8235182721843524,0
FARM_02,FARM_02_C038,0.23774610211342698,0.6651383896383878,25,4,0.3999999999999999,1.0954545454545457,0.7640746846270106,0.794904507048264,0.7757900171470868,1
FARM_02,FARM_02_C039,0.2235734451015212,0.7833351654814735,15,7,0.3999999999999999,1.0954545454545457,0.694557676972305,0.8474256320541463,0.7526474999034047,1
FARM_02,FARM_02_C040,0.23650743239850117,0.7106467758066263,22,5,0.3999999999999999,1.0954545454545457,0.7096076696298534,0.7987834041472374,0.7434944487464594,1
FARM_02,FARM_02_C041,0.25813957970776796,0.7811012572894149,29,4,0.3999999999999999,1.0954545454545457,0.6672824470804372,0.8524202710561577,0.737634820191211,1
FARM_02,FARM_02_C042,0.25682418655400796,0.7973116384454013,27,7,0.3999999999999999,1.0954545454545457,0.6783372707773967,0.8127534380398916,0.7294154143371447,1
FARM_02,FARM_02_C043,0.2443467190919173,0.743459508495411,22,4,0.3999999999999999,1.0954545454545457,0.7572694297682523,0.7827045286382768,0.7669347673388616,1
FARM_02,FARM_02_C044,0.27781430844671806,0.7327417601153124,28,9,0.3999999999999999,1.0954545454545457,0.6091396212768159,0.8185473511377849,0.6887145586239841,1
FARM_02,FARM_02_C045,0.2612532886924568,0.7613006822804416,28,8,0.3999999999999999,1.0954545454545457,0.7430287847354436,0.8253714895122117,0.7743190125506155,1
FARM_02,FARM_02_C046,0.2637705330488712,0.8256220605725602,30,1,0.3999999999999999,1.0954545454545457,0.7612038906235662,0.7928873437387026,0.773243602807318,1
FARM_02,FARM_02_C047,0.26939084521305606,0.8147914344426423,32,9,0.3999999999999999,1.0954545454545457,0.6497239858486756,0.8302347685692716,0.718318083282502,1
FARM_02,FARM_02_C048,0.26114435288073135,0.6855658504466297,26,9,0.3999999999999999,1.0954545454545457,0.7265305750180512,0.7967305774186526,0.7532065759302797,1
FARM_02,FARM_02_C049,0.2356033985031133,0.6701584057815919,16,3,0.3999999999999999,1.0954545454545457,0.7609727996682764,0.834085159023241,0.7887554962231629,0
FARM_02,FARM_02_C050,0.23735378769548499,0.6539683083888093,17,5,0.3999999999999999,1.0954545454545457,0.8015229378273943,0.8204428659390156,0.8087125105098103,0
FARM_02,FARM_02_C051,0.2334205316141098,0.7017806176598066,19,7,0.3999999999999999,1.0954545454545457,0.7705262087030028,0.8086560864932851,0.7850155622633102,1
FARM_02,FARM_02_C052,0.2367387000754177,0.6709652731764786,14,7,0.3999999999999999,1.0954545454545457,0.7224844766665544,0.835669442373728,0.7654947636352804,1
FARM_02,FARM_02_C053,0.24878382709063349,0.6930825603482739,16,8,0.3999999999999999,1.0954545454545457,0.7520676114877343,0.7646792947092508,0.7568600511119106,1
FARM_02,FARM_02_C054,0.22558807125604813,0.7290467649082074,12,3,0.3999999999999999,1.0954545454545457,0.7492796955266391,0.8390944143228336,0.783409288669193,1
FARM_02,FARM_02_C055,0.2137126034326042,0.6590675931678007,14,12,0.3999999999999999,1.0954545454545457,0.757304504627033,0.826584721661004,0.7836309870999421,1
FARM_02,FARM_02_C056,0.23266457865431533,0.6922044461512686,17,10,0.3999999999999999,1.0954545454545457,0.7964923004564447,0.7702948198329332,0.7865372578195103,0
FARM_02,FARM_02_C057,0.21273007728793,0.7259936941774452,13,8,0.3999999999999999,1.0954545454545457,0.7917772307560998,0.8337414351143271,0.8077236284122262,0
FARM_02,FARM_02_C058,0.2148525482924718,0.7126379948793196,17,6,0.3999999999999999,1.0954545454545457,0.7375958783793062,0.8505805822874322,0.7805300658643941,1
FARM_02,FARM_02_C059,0.2166856818326218,0.6874385209276654,15,8,0.3999999999999999,1.0954545454545457,0.8015782191658608,0.8323525906235258,0.8132724803197735,0
FARM_02,FARM_02_C060,0.23013695968683445,0.8159370330760796,19,7,0.3999999999999999,1.0954545454545457,0.7356331384069711,0.819803571784115,0.7676179030902858,1
FARM_02,FARM_02_C061,0.23610630627282253,0.7341950068835972,22,6,0.3999999999999999,1.0954545454545457,0.6900044024620624,0.8725632095860243,0.7593767491691679,1
FARM_02,FARM_02_C062,0.22642876370632142,0.6815297814722187,18,8,0.3999999999999999,1.0954545454545457,0.7617631797494032,0.8026534107743952,0.7773014675389003,1
FARM_02,FARM_02_C063,0.22054134283797416,0.7518755719958057,19,5,0.3999999999999999,1.0954545454545457,0.7650770736129671,0.808945315618273,0.7817470055749833,1
FARM_02,FARM_02_C064,0.2690741077485866,0.7721901903148636,30,9,0.3999999999999999,1.0954545454545457,0.6662389734979548,0.8265448582060728,0.7271552096870397,1
FARM_02,FARM_02_C065,0.2587344011750291,0.6994096732767205,23,3,0.3999999999999999,1.0954545454545457,0.7247626908808903,0.7663016060224337,0.7405474786346767,1
FARM_02,FARM_02_C066,0.2615249978344844,0.7750936508049984,30,6,0.3999999999999999,1.0954545454545457,0.7238315609741492,0.8118854021233519,0.7572920206108462,1
FARM_02,FARM_02_C067,0.2546991431079432,0.7301219600415194,22,7,0.3999999999999999,1.0954545454545457,0.6662322216265801,0.7960074174666534,0.715546796045808,1
FARM_02,FARM_02_C068,0.25449621609224704,0.792078891108094,21,10,0.3999999999999999,1.0954545454545457,0.7394720857687874,0.8410889785919796,0.7780865050416004,1
FARM_02,FARM_02_C069,0.2602008845934344,0.7368436930561493,22,11,0.3999999999999999,1.0954545454545457,0.6617006922807994,0.8176951632645789,0.7209785912546356,1
FARM_02,FARM_02_C070,0.2498546801060448,0.7201862037695261,19,7,0.3999999999999999,1.0954545454545457,0.7526266909571182,0.8232455205270536,0.7794618461936936,1
FARM_02,FARM_02_C071,0.2410847317951221,0.6223867203433111,16,6,0.3999999999999999,1.0954545454545457,0.738946955198556,0.8330765730713607,0.7747162099902218,1
FARM_02,FARM_02_C072,0.24791829690294254,0.6890898507415947,20,8,0.3999999999999999,1.0954545454545457,0.7594891927440747,0.8920958410225603,0.8098797190898992,0
FARM_02,FARM_02_C073,0.20871504057408455,0.613662997903432,11,5,0.3999999999999999,1.0954545454545457,0.7872303612592005,0.8374117093383904,0.8062992735292926,0
FARM_02,FARM_02_C074,0.21893348340958813,0.6223583283079746,13,3,0.3999999999999999,1.0954545454545457,0.7947737212506379,0.8141346400322906,0.802130870387666,0
FARM_02,FARM_02_C075,0.22153521189188133,0.6926008101979192,12,7,0.3999999999999999,1.0954545454545457,0.7330188752905308,0.8450206749607402,0.7755795591652104,1
FARM_02,FARM_02_C076,0.22996363326340627,0.6376313698884338,8,9,0.3999999999999999,1.0954545454545457,0.6842766397053112,0.8437708181260605,0.7448844275051959,1
FARM_02,FARM_02_C077,0.2041277985644611,0.6918227207094467,12,6,0.3999999999999999,1.0954545454545457,0.6956709899384698,0.8376762209395119,0.7496329777188657,1
FARM_02,FARM_02_C078,0.20371018120656695,0.6995364559072628,12,6,0.3999999999999999,1.0954545454545457,0.7896061856235226,0.8786356745398989,0.8234373914117457,0
FARM_02,FARM_02_C079,0.21230080909811264,0.5590204762317068,10,8,0.3999999999999999,1.0954545454545457,0.7483751213062187,0.8504357135799973,0.7871581463702546,0
FARM_02,FARM_02_C080,0.2157456213157357,0.721631772150251,13,8,0.3999999999999999,1.0954545454545457,0.7579767564558108,0.8183847243109856,0.7809317842407772,1
FARM_03,FARM_03_C001,0.22560747731508793,0.8148766369687432,17,4,0.4499999999999999,1.040909090909091,0.7028890031975163,0.8184884280354278,0.7468167846359227,1
FARM_03,FARM_03_C002,0.2551075591843,0.7832435719725315,27,3,0.4499999999999999,1.040909090909091,0.7324789184919684,0.8544176025634258,0.7788156184391222,1
FARM_03,FARM_03_C003,0.25379491715795766,0.6918736848530388,28,3,0.4499999999999999,1.040909090909091,0.7760778427611124,0.8834938299234217,0.8168959178827899,0
FARM_03,FARM_03_C004,0.23907476407488046,0.5850270194116046,25,6,0.4499999999999999,1.040909090909091,0.7498626069116391,0.8002999141622442,0.769028783666869,1
FARM_03,FARM_03_C005,0.24756078748557267,0.8077982096187903,23,6,0.4499999999999999,1.040909090909091,0.7865947272922988,0.7908340118566294,0.7882056554267445,0
FARM_03,FARM_03_C006,0.2202363847691415,0.6801734448329396,17,4,0.4499999999999999,1.040909090909091,0.7010894523180622,0.8084154223805777,0.7418733209418181,1
FARM_03,FARM_03_C007,0.2161838324963907,0.6664984261868854,13,2,0.4499999999999999,1.040909090909091,0.7792147752789285,0.8496723292339261,0.8059886457818275,0
FARM_03,FARM_03_C008,0.22295318522278934,0.6550769417951123,17,10,0.4499999999999999,1.040909090909091,0.8303623979295203,0.8626966808193145,0.842649425427642,0
FARM_03,FARM_03_C009,0.19951477285492883,0.6292069122640647,6,4,0.4499999999999999,1.040909090909091,0.7603060202578049,0.8904260653887978,0.8097516374075822,0
FARM_03,FARM_03_C010,0.19527638722093613,0.5836856896286561,7,3,0.4499999999999999,1.040909090909091,0.8260173141000723,0.8496344502720945,0.8349918258454407,0
FARM_03,FARM_03_C011,0.19130325575660315,0.7114223498210857,11,3,0.4499999999999999,1.040909090909091,0.7716174909270597,0.8607424545387072,0.8054849770994857,0
FARM_03,FARM_03_C012,0.20782270531363706,0.6784984350760841,11,7,0.4499999999999999,1.040909090909091,0.7799945186715547,0.8437833005919263,0.8042342558012959,0
FARM_03,FARM_03_C013,0.1702301414746547,0.6912583114380934,6,4,0.4499999999999999,1.040909090909091,0.7445240854099041,0.921280952763221,0.8116916950041646,0
FARM_03,FARM_03_C014,0.19491551777434812,0.6409043107186347,6,4,0.4499999999999999,1.040909090909091,0.7916664118999588,0.8841377657926436,0.8268055263791789,0
FARM_03,FARM_03_C015,0.20187056413326396,0.7128624787133817,13,8,0.4499999999999999,1.040909090909091,0.7681158609271728,0.8137378099943122,0.7854522015726857,1
